word,level,meaning_en
있다,I,"have, there"
잊다,I,forget
잊어버리다,I,forget
자,I,"character, Here we go."
자기,I,"myself, own"
자다,I,sleep
자동차,I,"car, automobile"
자동차회사,I,car company
자료,I,"material, document"
자르다,I,cut
자리,I,"seat, location"
자신,I,"myself, own"
자연,I,nature
자유,I,freedom
자장면,I,Jajangmyeon
자전거,I,bicycle
자주,I,often
작년,I,last year
작다,I,small
작은아버지,I,uncle
작은어머니,I,aunt
잔,I,"glass, ~ cup(s)"
잔치,I,"party, feast"
잘,I,well
잘못,I,mistake
잘생기다,I,handsome
잘하다,I,"do well, good at"
잠,I,"slumbers, sleep"
잠깐,I,"for a while, a little"
잠시,I,"for a bit, for a while, a little"
잠자다,I,"sleep, go to bed"
잡다,I,"catch, grab, hold"
잡수시다,I,eat (honorific form)
잡지,I,magazine
장,I,"~ chapter(s), ~ sheet(s)"
장갑,I,gloves
장마,I,rainy season
장마철,I,rainy season
장미,I,rose
장소,I,place
장점,I,advantage
재료,I,material
재미없다,I,"not funny, uninteresting"
재미있다,I,interesting
재킷,I,jacket
저,I,that
저거,I,that
저것,I,that
저곳,I,over there
저기,I,"there, over there"
저녁,I,"dinner, evening, night"
저녁식사,I,dinner
저렇게,I,"like that, in that way"
저분,I,that person
저쪽,I,"there, over there"
저희,I,we
적,I,enemy
적다,I,"be few, write down"
전,I,"all, before"
전공,I,major
전기자동차,I,electric car
전자사전,I,electronic dictionary
전하다,I,tell
전혀,I,not at all
전화,I,telephone
전화기,I,telephone
전화번호,I,phone number
절,I,"~ section(s), temple"
절대,I,"never, absolutely"
젊다,I,young
점,I,point
점수,I,"score, point"
점심,I,lunch
점심시간,I,lunchtime
점심식사,I,lunch
점원,I,clerk
점퍼,I,jacket
젓가락,I,chopsticks
정거장,I,"station, depot"
정도,I,degree
정류장,I,"station, bus stop"
정리하다,I,"straighten out, organize"
정말,I,"really, truly"
정문,I,"front door, main gate"
정보,I,information
정하다,I,"choose, establish"
제가,I,I
제목,I,title
제일,I,most
제주도,I,Jeju Island
조금,I,a little
조사하다,I,investigate
조선,I,"shipbuilding, Korea"
조선말,I,Korean language
조선어,I,Korean language
조심하다,I,"be careful, warn"
조용하다,I,"silent, quiet"
조용히,I,quietly
조카,I,nephew
졸업,I,graduation
졸업하다,I,graduate
좀,I,a little
좀더,I,a little more
좁다,I,narrow
종로,I,Jong-ro
종류,I,"kind, type"
종업원,I,employee
종이,I,paper
종일,I,all day
좋다,I,good
좋아하다,I,like
죄송하다,I,sorry
주,I,week
주다,I,give
주로,I,mainly
주말,I,weekend
주머니,I,"pocket, pouch"
주무시다,I,"sleep, rest"
주문하다,I,order
주변,I,around
주부,I,housewife
주사,I,injection
주소,I,address
주스,I,juice
주위,I,around
주인,I,owner
주차장,I,parking lot
주차하다,I,park
주황색,I,orange color
죽,I,"bamboo, porridge"
죽다,I,die
준비,I,preparation
준비하다,I,prepare
줄,I,"line, column, string"
줄다,I,"shrink, decrease"
중,I,"medium, during"
중국,I,China
중국어,I,Chinese
중국집,I,Chinese restaurant
중식,I,Chinese cuisine
중심,I,center
중요,I,importance
중요하다,I,important
중학교,I,"middle school, Junior high school"
중학생,I,middle school student
즐거워하다,I,have fun
즐겁다,I,"fun, be pleasant"
즐기다,I,"enjoy, have fun"
증세,I,"symptom, medical condition"
지각,I,"tardy, being late"
지갑,I,wallet
지금,I,now
지나다,I,pass by
지난달,I,last month
지난번,I,last time
지난주,I,last week
지내다,I,"stay, spend, live"
지다,I,lose
지도,I,map
지방,I,"fat, region"
지우개,I,eraser
지키다,I,protect
지하,I,underground
지하도,I,underpass
지하철,I,subway
지하철역,I,subway station
직업,I,"job, profession"
직원,I,"employee, staff"
직장,I,workplace
직접,I,"directly, direct"
진달래,I,azalea
질,I,quality
질문,I,question
질문하다,I,ask a question
짐,I,"load, baggage"
집,I,"house, shop"
짓다,I,"build, create"
짜다,I,"salty, make (the plan)"
짜리,I,a value (won coin)
짧다,I,short
쪽,I,"side, page"
쯤,I,"about, around ~"
찌개,I,"stew, soup"
찍다,I,"pierce, take (a photo), press"
차,I,"car, tea"
차갑다,I,cold
차다,I,kick
차리다,I,"prepare, arrange"
착하다,I,"be good, friendly"
참,I,"really, very"
창문,I,window
찾다,I,"find, visit"
찾아가다,I,go to visit
찾아오다,I,come to visit
채소,I,vegetable
책,I,book
책방,I,bookstore
책상,I,desk
책임,I,responsibility
책장,I,bookshelf
처음,I,"first, for the first time"
처음 뵙겠습니다,I,Nice to meet you.
천,I,1000
천천히,I,slowly
철,I,"iron, season"
첫,I,first
첫째,I,first
청바지,I,blue jeans
청소기,I,vacuum cleaner
청소하다,I,"sweep, clean"
초,I,~second(s)
초대하다,I,invite
초등학교,I,elementary school
초등학생,I,elementary student
초록색,I,green color
초콜릿,I,chocolate
촬영하다,I,take a picture
최고,I,"best, the highest"
추다,I,dance
추석,I,Chusoku (Korean Thanksgiving Day)
추억,I,memory
축구,I,"football, soccer"
축제,I,festival
축하,I,celebration
축하하다,I,celebrate
축하합니다,I,congratulations
출구,I,exit
출근하다,I,go to work
출발,I,"start, departure"
출발하다,I,depart
출장,I,business trip
춤,I,dance
춤추다,I,dance
춥다,I,cold
취미,I,hobby
취소하다,I,cancel
취직하다,I,get a job
층,I,"layer, ~ floor"
치과,I,"dentist, dentistry"
치료하다,I,treat
치마,I,skirt
치약,I,toothpaste
친구,I,friend
친절하다,I,be kind
친척,I,relative
친하다,I,"close, familiar"
칠,I,7
칠십,I,70
칠월,I,July
칠판,I,blackboard
침대,I,bed
칫솔,I,toothbrush
카드,I,card
카레,I,curry
카메라,I,camera
카페,I,"cafe, coffee shops"
칼,I,"knife, cutlery, swords"
캐나다,I,Canada
커피,I,coffee
커피숍,I,coffee shop
컴퓨터,I,"computer, PC"
컵,I,cup
케이크,I,cake
켜다,I,"turn on (the light, the power, etc.)"
코,I,nose
코트,I,coat
코피,I,nosebleed
콜라,I,Coke
콧노래,I,humming
콧물,I,"snot, nasal discharge"
콩,I,"bean, soy"
크기,I,size
크다,I,"big, large"
크리스마스,I,Christmas
큰아버지,I,uncle
큰어머니,I,aunt
키,I,"key, height"
킬로그램,I,kilogram
킬로미터,I,kilometer
타다,I,"ride, get on"
타월,I,towel
탁구,I,table tennis
태국,I,Thailand
태권도,I,Taekwondo
태어나다,I,be born
태풍,I,typhoon
택시,I,taxi
탤런트,I,entertainers
터미널,I,terminal
테니스,I,tennis
테이블,I,table
텔레비전,I,TV
토마토,I,tomato
토요일,I,Saturday
통,I,"barrel, ~ package(s)"
통장,I,"bank book, (deposit) passbook"
통하다,I,"pass, lead"
퇴근하다,I,leave the office
특별히,I,especially
특징,I,"characteristic, feature"
특히,I,"especially, in particular"
틀다,I,turn on (the switch)
틀리다,I,wrong
티셔츠,I,t-shirt
팀,I,team
파,I,"wave, green onion"
파란색,I,blue color
파랗다,I,blue
파티,I,party
팔,I,8
팔다,I,sell
팔리다,I,"sell, be sold"
팔십,I,80
팔월,I,August
패션,I,fashion
퍼센트,I,percent
페이지,I,page
펜,I,pen
펴다,I,"spread, stretch"
편,I,"side, episode"
편지,I,letter
편하다,I,"comfortable, easy, convenient"
평양,I,Pyongyang
평일,I,weekday
포도,I,grape
포장,I,packing
표,I,"table, ticket"
표현,I,expression
푹,I,deeply
풀,I,"pool, grass"
풀다,I,solve
프랑스,I,France
프로그램,I,program
프린트,I,print
피,I,blood
피곤하다,I,tired
피다,I,bloom
피아노,I,piano
피우다,I,"smoke, bloom"
피자,I,pizza
필름,I,film
필요,I,necessity
필요하다,I,need
필통,I,pencil case
하나,I,1
하늘,I,sky
하늘색,I,"sky blue, light blue"
하다,I,"do, say"
하루,I,one day
하숙,I,"boarding house, lodging house"
하숙집,I,"boarding house, lodging house"
하얀색,I,white color
하얗다,I,white
하지만,I,"but, however"
학,I,crane
학교,I,school
학기,I,semester
학년,I,"grade, school year"
학생,I,student
학생증,I,student ID card
학원,I,"academy, school"
한,I,"one, one of the ~"
한강,I,"Han River, Hangang"
한국,I,Korea
한국드라마,I,Korean drama
한국말,I,Korean language
한국사람,I,Korean people
한국어,I,Korean language
한국요리,I,Korean cuisine
한글,I,Hangul
한번,I,once
한복,I,"Hanbok, Korean traditional clothes"
한식,I,Korean cuisine
한자,I,Chinese character
할머니,I,grandmother
할아버지,I,grandfather
할인,I,"sale, discount"
함께,I,together
합격,I,pass
항상,I,always
해,I,"year, sun"
해외,I,overseas
해외여행,I,overseas trip
핸드폰,I,"cell phone, mobile phone"
햄버거,I,hamburger
햇빛,I,"sunshine, sunlight"
행복,I,happiness
행복하다,I,happy
행사,I,event
허리,I,"waist, hip"
현금,I,cash
현재,I,"now, current"
형,I,brother (as seen from the younger brother)
형님,I,big brother (honorific form)
형제,I,sibling
호,I,No. ~
호랑이,I,tiger
호주,I,Australia
호텔,I,hotel
혼자,I,alone
홈페이지,I,home page
홍차,I,black tea
화,I,anger
화가,I,"artist, painter"
화나다,I,angry
화내다,I,get angry
화요일,I,Tuesday
화장실,I,"restroom, toilet, lavatory"
화장품,I,cosmetics
화장하다,I,makeup
확인하다,I,"confirm, check"
환영하다,I,welcome
환자,I,patient
회사,I,company
회사원,I,employee
회색,I,grey
회의,I,conference
횡단보도,I,crosswalk
후,I,after
후배,I,Junior
휴가,I,"vacation, holiday"
휴대전화,I,"cell phone, mobile phone"
휴일,I,holiday
휴지,I,toilet paper
휴지통,I,trash can
흐리다,I,cloudy
흰색,I,white color
힘,I,power
가계부,II,household account book
가구점,II,furniture store
가까이,II,near
가꾸다,II,to cultivate
가난,II,poverty
가늘다,II,to be thin
가능,II,"possibility, potentiality"
가능성,II,possibility
가능하다,II,to be possible
가득,II,full
가라앉다,II,to sink
가렵다,II,to be itchy
가루비누,II,powder soap
가리다,II,to distinguish
가리키다,II,to indicate
가만히,II,motionlessly
가뭄,II,drought
가사,II,housework
가상,II,virtual
가스,II,gas
가습기,II,humidifier
가입,II,entry
가전제품,II,home appliances
가정,II,family
가족적,II,being family-oriented
가축,II,livestock
가치,II,value
각각,II,"separately, each"
각자,II,each one
각종,II,various
간격,II,interval
간절히,II,eagerly
간접적,II,being indirect
간판,II,signboard
간호,II,nursing
갈다,II,to change
갈등,II,conflict
갈수록,II,more and more
갈아입다,II,to change clothes
감각,II,sense
감기다,II,to be twined
감독,II,director
감동적,II,moving (emotionally)
감상,II,appreciation
감소,II,reduction
감정,II,emotion
감탄,II,admiration
강물,II,river water
강변,II,riverside
강사,II,teacher
강수량,II,rain precipitation
강연,II,lecture
강우량,II,(the amount of) rainfall
강의,II,lecture
강의실,II,lecture hall
강조,II,emphasis
강하다,II,to be strong
갖추다,II,to prepare
갚다,II,"to return, to reward"
개강,II,start of course (lecture)
개구리,II,frog
개구쟁이,II,naughty child
개다,II,to clear up
개막식,II,opening ceremony
개발,II,development
개방,II,"opening, opening to the public"
개방적,II,being open
개선,II,improvement
개성,II,individuality
개성적,II,being characteristic
개인적,II,being personal
개최,II,hosting (an event)
객관적,II,being objective
객실,II,guest room
갸름하다,II,to be slim and long
걔,II,that person
거래,II,transaction
거미,II,spider
거북이,II,turtle
거스름돈,II,change
거절,II,rejection
거짓,II,lies
거치다,II,to go through
거품,II,bubble
걱정거리,II,worries
건강식,II,healthy diet
건강식품,II,healthy food
건너,II,across
건네다,II,"to hand over, to start (a conversation)"
건더기,II,solid ingredients of a soup
건망증,II,forgetfulness
건설,II,construction
건전지,II,batteries
건조,II,dry
건축,II,architecture
건축가,II,architect
걸레,II,rag
걸레질,II,mopping
걸음,II,steps
검다,II,black
검사,II,inspection
검색,II,search
검색어,II,search word
겁,II,fear
겉,II,"side, outside"
겉모습,II,appearance
게다가,II,"besides, in addition"
게시판,II,bulletin board
게으르다,II,to be lazy
게임기,II,game machine
겨우,II,"barely, finally"
격려,II,encouragement
겪다,II,"to experience, to go through"
견디다,II,to endure
결과적,II,being as a result
결국,II,after all
결론,II,conclusion
결말,II,end (of a story)
결석,II,absence
결승전,II,final game/round
결심,II,decision
결코,II,never
결혼기념일,II,wedding anniversary
결혼식장,II,wedding hall
겸손,II,humility
겹치다,II,overlap
경고,II,warning
경력,II,career
경비,II,security
경비원,II,security guard
경영,II,management
경영자,II,"executive, CEO"
경영학,II,business administration
경우,II,"case, circumstance"
경쟁,II,competition
경쟁력,II,competitiveness
경제,II,economy
경제력,II,economic power
경제적,II,being economic
경제학,II,economics
계산,II,"calculation, accounting"
계산대,II,cashier
계산서,II,"check, bill"
계약,II,contract
계약금,II,down payment
계약서,II,(written) contract
계좌,II,bank account
계층,II,hierarchy
계획성,II,planning
계획적,II,"being planned, as planned"
고개,II,"head, hill"
고객,II,"client, customer"
고구마,II,sweet potato
고궁,II,traditional Korean palace
고급,II,high grade
고래,II,whale
고마움,II,thankfulness
고무신,II,rubber shoes
고무줄,II,rubber band
고민,II,"worry, trouble"
고백,II,confession
고생,II,hardship
고소하다,II,to be nutty
고속,II,high speed
고속도로,II,highway
고아원,II,orphanage
고유하다,II,unique
고지서,II,notice
고집,II,persistence
고춧가루,II,pepper powder
고층,II,upper floors
고통,II,pain
곤란,II,difficulty
골고루,II,evenly
골목길,II,alley
골치가 아프다,II,to be annoying
곰,II,bear
곱슬머리,II,natural curly hair
곳곳,II,"here and there, everywhere"
공공요금,II,utility charges
공공장소,II,public place
공동,II,joint
공동생활,II,community life
공사,II,construction
공손하다,II,to be polite
공연장,II,performance hall
공장,II,factory
공주,II,princess
공통,II,common
공통점,II,common point
공포,II,fear
공해,II,pollution
과로,II,overwork
과목,II,(class) subject
과소비,II,waste (of use)
과속,II,speed violation
과식,II,overeating
과연,II,as expected
과외,II,tutor lesson
과음,II,excessive drinking
과장,II,manager
과장하다,II,to exaggerate
과정,II,process
과제,II,task
과학자,II,scientists
과학적,II,being scientific
관객,II,audience
관계없다,II,to be unrelated
관계자,II,the person concerned
관광,II,tourism
관광객,II,tourist
관광지,II,tourist attraction
관람,II,viewing
관람객,II,audience
관련,II,relation
관련성,II,relevance
관리,II,management
관리실,II,management room
관용어,II,idiom
관찰,II,observation
광장,II,"square, plaza"
괜히,II,for no reason
괴로움,II,"agony, distress"
괴로워하다,II,to be distressed
괴롭다,II,to be painful
괴롭히다,II,"to harass, to bully"
굉장하다,II,"to be great, to be wonderful"
굉장히,II,"extremely, to a great extent"
교사,II,teacher
교외,II,suburbs
교육,II,education
교육자,II,educator
교육학,II,pedagogy
교재,II,teaching materials
교통수단,II,transportation
교통편,II,transportation
교포,II,overseas resident
교환,II,exchange
구두쇠,II,a stingy person
구르다,II,to roll
구매,II,purchase
구멍,II,hole
구별,II,distinction
구분,II,classification
구성,II,composition
구이,II,grill
구인,II,a job offer
구입,II,purchase
구조,II,structure
구조대,II,rescue team
구체적,II,being specific
국가,II,nation
국그릇,II,soup bowl
국내선,II,domestic flights
국문학,II,(the country's) literature
국물,II,soup bowl
국민,II,citizens
국악,II,traditional Korean music
국외,II,overseas resident
국제결혼,II,international marriage
국제선,II,international flights
국화,II,chrysanthemum
군대,II,army
군데,II,place
굵다,II,to be thick
궁금증,II,curiosity
궁금하다,II,to be curious
권하다,II,"to recommend, to offer"
귀걸이,II,earrings
귀국,II,return (to home country)
귀신,II,ghost
귀중하다,II,to be valuable
귀찮다,II,"to be bothersome, to be tedious"
귀하다,II,"to be noble, to be rare, to be fine"
규칙적,II,being regular
그네,II,swing
그녀,II,girlfriend
그늘,II,shade
그대로,II,as it is
그래도,II,(but) still
그래야,II,so that
그래프,II,graph
그러니,II,therefore
그러다가,II,and then
그러므로,II,hence
그러자,II,and then
그러하다,II,"so, as such, like that"
그루,II,"(how to count trees), stump"
그룹,II,group
그리,II,"so, very, that"
그리워하다,II,"to miss, to be nostalgic"
그리하여,II,then
그림책,II,picture book
그립다,II,"to be nostalgic, to be missed"
그만두다,II,to quit
그만큼,II,that much
그저,II,just
근데,II,by the way
근로자,II,"worker, laborer"
근무,II,work
근육,II,muscle
글쎄,II,oh well
글쓴이,II,author
글씨,II,letter
글자,II,letter
긁다,II,to scratch
금,II,gold
금메달,II,gold medal
금액,II,amount of money
금지,II,ban
급히,II,suddenly
긍정적,II,"being positive, being affirmative"
기계,II,machine
기념,II,commemoration
기념관,II,memorial hall
기념일,II,anniversary
기념품,II,souvenir
기능,II,function
기다,II,to crawl
기대,II,expectation
기도,II,prayer
기둥,II,pillar
기록,II,record
기본,II,basic
기본적,II,"being fundamental, being basic"
기부,II,donation
기쁨,II,"joy, happiness"
기술,II,"skill, technique"
기술자,II,technician
기억,II,memory
기억나다,II,"to remember, to recall"
기억력,II,memory
기업,II,"company, corporation"
기업인,II,entrepreneur
기운,II,"energy, qi"
기울이다,II,to tilt
기준,II,"standard, criteria"
기차역,II,train station
기차표,II,train ticket
기초,II,"basic, fundamental"
기행문,II,"travelogue, travel essay"
기호,II,symbol
기혼,II,married
기회,II,"opportunity, change"
기후,II,climate
긴장감,II,nervousness
길가,II,roadside
길거리,II,street
길이,II,lenth
김장,II,a custom/event to make Kimchi in winter
깊다,II,to be deep
깊이,II,depth
까다,II,to peel
까다롭다,II,to have a high standard
깔다,II,to lay
깜빡,II,"forgetfully, with a blink"
깨끗이,II,clearly
깨닫다,II,to realize
깨뜨리다,II,to break
깨소금,II,sesame salt
깨우다,II,to wake someone up
깻잎,II,sesame leaf
꺼지다,II,"to go out, to be extinguished"
껍질,II,"peel, skin"
꼬리,II,tail
꼬박꼬박,II,"properly (without failure), faithfully"
꼭대기,II,"summit, top"
꼴찌,II,the last place
꼼꼼하다,II,to be meticulous
꼼꼼히,II,"thoroughly, meticulously"
꽃병,II,flower vase
꽤,II,quite
꾸미다,II,to decorate
꾸준히,II,steadily
꾸짖다,II,to scold
꿀,II,honey
꿀벌,II,honey bee
꿈꾸다,II,to dream
끈,II,string
끊다,II,to cut
끊어지다,II,to be cut
끊임없다,II,"to be incessant, to be unceasing"
끌다,II,to pull
끝내,II,"finally, eventually"
끼어들다,II,to interrupt
나날이,II,day by day
나들이,II,picnic
나름,II,depends on
나머지,II,"remainder, surplus"
나물,II,(Korean style) seasoned vegetables
나뭇잎,II,leaf
나서다,II,"to go forward, to get involved"
나아가다,II,to move on
나아지다,II,to improve
나타내다,II,"to display, to reveal"
낙서,II,doodle
낙엽,II,fallen leaves
난로,II,"stove, fireplace"
난방,II,heater
날개,II,wings
날다,II,to fly
날로,II,day by day
날리다,II,to blow away
날씬하다,II,skinny
날아가다,II,to fly away
날아다니다,II,to fly around
날아오다,II,to fly in
날아오르다,II,"to fly up, to soar"
낡다,II,to be old
남녀노소,II,men and women of all ages
남녀평등,II,gender equality
남다,II,"to remain, to be left"
남부,II,southern
남성,II,male
남성복,II,men's clothing
낫다,II,to heal
낭비,II,waste (of use)
낯설다,II,to be unfamiliar
낳다,II,to give birth
내내,II,always
내려다보다,II,to look down
내복,II,underwear
내부,II,"inside, internal"
내성적,II,being shy
내용물,II,content (of a container)
내쫓다,II,to kick out
냇가,II,"stream, lake"
냉방병,II,excessive air conditioning syndrome
너그럽다,II,to be generous
너무나,II,"too~, very"
넉넉하다,II,"to be enough, to be rich"
널다,II,"to dry, to expose to the air"
넓히다,II,to widen
넘기다,II,to hand over
넘어가다,II,to move on to
넘치다,II,to overflow
네모나다,II,to be squared
네트워크,II,network
년대,II,age
노동,II,labor
노동자,II,laborer
노력,II,effort
노선,II,"route, line"
노약자,II,elderly and physically handicapped
노인,II,elderly
노처녀,II,an unmarried and old woman
노총각,II,unmarried and old man
노트북,II,laptop
녹다,II,to be melt
녹음,II,voice recording
녹음기,II,voice recorder
논문,II,(academic) paper
놀랍다,II,"to be amazing, to be remarkable"
놀리다,II,to make fun of
놀이,II,"play, game"
놀이터,II,playground
놈,II,guy
농담,II,joke
농민,II,farmer
농부,II,farmer
농사,II,agriculture
농약,II,pesticides
농작물,II,crops
농촌,II,rural
높이,II,height
높이다,II,to increase
높임말,II,honorifics
놓이다,II,to be placed
놓치다,II,"to miss, to lose"
눈길,II,"glance, attention"
눈높이,II,eye-level
눈병,II,eye disease
눈보라,II,snowstorm
눈사태,II,avalanche
눈썹,II,eyebrow
눈치,II,"wits, sense"
눌러쓰다,II,to wear deeply
느긋하다,II,"to be lazy, to be laid back"
느끼하다,II,to be greasy
늘리다,II,to increase (the number or volume)
늘어나다,II,"to stretch, to increase"
늘어서다,II,to line up
늙다,II,to get old
늦추다,II,to delay
다가오다,II,"to approach, to come closer"
다녀가다,II,to visit
다람쥐,II,squirrel
다루다,II,to deal with
다림질,II,ironing
다수,II,many
다양하다,II,to be varied
다음날,II,next day
다정하다,II,"to be compassionate, to be kind"
다투다,II,"to argue, to fight"
다행,II,"fortune, luck"
다행히,II,fortunately
단계,II,"stage, step"
단골,II,regular (customer)
단기간,II,short term
단단하다,II,"to be solid, to be hard, to be strong"
단발머리,II,(women's) short hairstyle
단백질,II,protein
단속,II,"control, regulate (illegal action)"
단순하다,II,to be simple
단순히,II,simply
단위,II,unit
단정하다,II,"to be neat, to be organized"
단체,II,group
단풍,II,"autumn leaves, maple"
달라지다,II,to change
달려가다,II,to run (to go)
달려오다,II,to run (to come)
달리,II,"besides, differently"
달리기,II,running
달밤,II,moonlit night
달아나다,II,to escape
달콤하다,II,to be sweet
닭갈비,II,Korean style chicken dish
담,II,"wall, fence, hedge"
담기다,II,to be put in (a container)
담다,II,to put in (a container)
담당,II,being in charge
담당자,II,person in charge
담백하다,II,"to be pure, to be innocent"
담뱃불,II,tobacco fire
담임,II,homeroom teacher
답,II,answer
답글,II,reply
답답하다,II,"to be stuffy, to be suffocating"
답변,II,answer
당기다,II,to pull
당분간,II,for a while (from now on)
당연하다,II,"to be natural,to be justifiable,to be fair"
당연히,II,of course
당장,II,"immediately, for now"
당하다,II,to be done
당황하다,II,"to be embarrassed, to be bewildered"
대개,II,"mostly, usually"
대기업,II,large company
대다,II,to touch
대단하다,II,to be great
대단히,II,greatly
대도시,II,big city
대량,II,"mass, a large amount"
대리,II,substitute
대문,II,"door, gate"
대신,II,in substitute
대여,II,rental
대여료,II,rental charge
대접,II,hospitality
대중,II,public
대중교통,II,public transportation
대중목욕탕,II,public bath
대책,II,countermeasures
대청소,II,housecleaning
대체로,II,"usually, in general"
대출,II,"loan, lend"
대통령,II,president (of a country)
대표,II,representative
대표적,II,"being representative, being typical"
대형,II,large size
댄스,II,dance
더구나,II,"furthermore, moreover"
더러워지다,II,to get dirty
더욱,II,even more
더위,II,"heat, hotness"
더하다,II,"to add on, to get worse"
덕,II,thanks (to someone)
던지다,II,to throw
덜,II,"less, not yet"
덜다,II,to cut back
데다,II,to get burned
데려오다,II,to bring
데치다,II,to boil quickly
도구,II,tool
도난,II,theft
도대체,II,how on earth
도둑,II,thief
도망가다,II,"to escape, to run away"
도서,II,books
도시락,II,lunchbox
도장,II,"seal, stamp"
도전,II,challenge
도중,II,on the way
독,II,poison
독감,II,"influenza, flu"
독립,II,independence
독방,II,"room to oneself, solitary confinement"
독신자,II,"an unmarried, single person"
독특하다,II,to be unique
돌,II,"stone, rock"
돌다,II,"to spin, to get around"
돌려받다,II,to get returned
돌려보내다,II,to return
돌려주다,II,to return
돌리다,II,to turn
돌보다,II,to take care
돌솥,II,stone pot
돌아다니다,II,to walk around
돌아보다,II,to look back
돌아서다,II,to turn back
돌잔치,II,1st birthday
동굴,II,cave
동료,II,colleague
동물원,II,zoo
동부,II,eastern part
동서양,II,eastern and western
동시,II,simultaneous
동양화,II,oriental painting
동영상,II,video
동일하다,II,being the same
동작,II,"motion, action"
동창,II,alumni
동창회,II,alumni association
동해안,II,east coast
동호회,II,club
동화,II,fairy tale
동화책,II,children's book
되도록,II,as much as possible
되돌리다,II,to regain
되돌아보다,II,"to look back, to think back"
되살아나다,II,to revive
두려움,II,fear
두려워하다,II,to fear
두세,II,"two, three"
두통,II,headache
두통약,II,headache pill/medicine
둔하다,II,to be dull
둘러보다,II,to look around
둥글다,II,to be round
뒤떨어지다,II,"to be inferior, to be behind"
뒤집다,II,to flip
뒤풀이,II,after-party
뒷모습,II,the back view
뒷문,II,back gate
뒷이야기,II,behind story
뒷자리,II,back seat
드디어,II,finally
드라이,II,dry
드림,II,dream
드물다,II,to be rare
든든하다,II,"to be reassuring, to be reliable"
들려주다,II,to tell (someone)
들르다,II,to stop by
들리다,II,to be heard
들어보다,II,to try hearing
들어주다,II,to listen (to someone)
들이다,II,"to spend (time, money)"
등록,II,register
등록금,II,"registration fee, tuition fee"
등록증,II,registration card
등불,II,"lights, lamp"
디스크,II,"disc, hernia"
디자이너,II,designer
디지털,II,digital
따다,II,"to pluck, to pick, to get"
따라다니다,II,to follow (after someone)
따라서,II,"therefore, hence"
따로따로,II,separately
따지다,II,to question closely
딱,II,"perfectly, just"
딱딱하다,II,"to be hard, to be stiff"
딴,II,"another, other"
땅,II,"land, ground"
땅콩,II,peanuts
때때로,II,sometimes
때로,II,now and then
떠오르다,II,to float
떨다,II,"to shiver, to shake"
떨리다,II,"to tremble, to be shaken"
떨어뜨리다,II,to drop
떼다,II,"to detach, to take away"
또박또박,II,"word by word, letter by letter"
또한,II,also
똑같이,II,"similarly, in the same manner"
똑똑하다,II,"to be clever, to be smart"
뚜렷하다,II,to be clear
뚫다,II,to make a hole
뚱뚱하다,II,to be fat
뛰어가다,II,to run
뛰어나다,II,to be superior
뛰어내리다,II,to jump off
뛰어넘다,II,to jump over
뛰어다니다,II,"to jump around, to run around"
뛰어오다,II,to run (to come)
뛰쳐나가다,II,"to rush out, to leap out"
뜨거워지다,II,to become hot
뜻밖에,II,unexpectedly
띠,II,zodiac
램프,II,lamp
레몬,II,lemon
레포츠,II,leisure sports
렌즈,II,lens
렌터카,II,car rental
로또,II,lottery
로봇,II,robot
로비,II,lobby
룸메이트,II,roommate
리듬,II,rhythm
리모컨,II,remote controller
마감일,II,"deadline, due date"
마네킹,II,mannequin
마당,II,garden
마디,II,section
마라톤,II,marathon
마련하다,II,"to provide, to prepare"
마루,II,indoor floor
마무리,II,conclusion
마술,II,magic
마스크,II,mask
마약,II,drug
마을,II,village
마음껏,II,as much as one wants
마음대로,II,as one wishes
마음먹다,II,to make up one's mind
마음씨,II,mindfulness
마주보다,II,to come face to face
마주치다,II,to meet (coincidentally)
마중,II,pick up
마찬가지,II,"being the same, in the same manner"
마치,II,"as if, just like"
마침,II,just happened to be
마침내,II,finally
마케팅,II,marketing
마트,II,supermarket
막,II,"insanely, do something without any order"
막내,II,the youngest
막다,II,to block
막대기,II,"rod, stick"
막차,II,last train
만남,II,"encounter, meeting"
만년필,II,fountain pen
만약,II,by any chance
만족,II,satisfaction
만족감,II,satisfaction (feeling)
만화책,II,cartoon book
맏딸,II,eldest daughter
맏아들,II,eldest son
말다툼,II,quarrel
말리다,II,to stop (conflict)
말투,II,the way one speaks
맛보다,II,to taste
망가뜨리다,II,"to break, to ruin"
망가지다,II,"to be broken, to be ruined"
망설이다,II,to hesitate
망하다,II,"to perish, to breakdown"
맞벌이,II,dual-income family
맞이,II,greeting
맞추다,II,to assemble
맡기다,II,to entrust
맡다,II,"to take over, to undertake"
매년,II,"annually, every year"
매달,II,"monthly, every month"
매력,II,attraction
매력적,II,being attractive
매연,II,soot
매운탕,II,spicy fish soup
매점,II,shop
매진,II,sold out
매체,II,medium
매콤하다,II,to be sweet and spicy
매표소,II,ticket office
맨발,II,barefoot
맨손,II,bare hands
맹인,II,blind person
맺다,II,to tie
머리카락,II,hair
머무르다,II,to stay
머지않다,II,to be not distant
먹을거리,II,food
먹이,II,(animal) feed
먹이다,II,to feed
먼지,II,dust
멀리,II,far away
멀티미디어실,II,multimedia room
멈추다,II,to stop
멋지다,II,"to be fantastic, to be amazing"
멍,II,bruise
메일,II,e-mail
멜로디,II,melody
멜론,II,melon
며느리,II,daughter-in-law
면,II,"side, noodles"
